sku_id,week,sku_id,base_demand,actual_demand,promotion_active,promotion_discount_pct,stockout_qty,service_level_pct,season,weather,competitor_promotion,product_name,category,supplier_id,unit_cost,selling_price,profit_margin,margin_pct,weight_lbs,volume_cuft,avg_lead_time_days,min_order_qty,is_promotional_item,value_density,avg_actual_leadtime,leadtime_std,avg_variance,max_weight_lbs,max_volume_cuft,cost_per_load,profit_per_unit,total_revenue,total_profit,promotion_lift,qty_on_hand,safety_stock,reorder_point,order_quantity,inventory_status,days_of_supply,daily_usage,projected_on_hand,buffer_ratio,risk_level,shortage_qty,days_until_runout,urgency_score,truck_max_weight,truck_max_volume,truck_cost,max_order_qty,priority
SKU019,52,SKU019,55.4,49.6,False,0,0.0,95.7,Q4,Stormy,False,Safety Equipment Item 19,Safety Equipment,SUP004,56.22,159.88,103.66,64.8,4.14,0.235,7.0,50,False,25.03,7.45,1.354789483814569,1.1166666666666667,65000,3200,2200,103.66,7930.048,5141.536,-10.469314079422375,87,19,77,110,Normal,11.0,7.9,28.0,1.47,HIGH,0,11.0,0.13887781695538864,65000,3200,2200,0,HIGH
SKU032,52,SKU032,17.8,18.3,False,0,0.0,96.6,Q4,Stormy,False,Safety Equipment Item 32,Safety Equipment,SUP002,124.51,308.3,183.78,59.6,6.65,0.32,6.4,25,False,27.62,7.008333333333333,0.819598941094011,0.775,60000,3000,2000,183.79000000000002,5641.89,3363.3570000000004,2.8089887640449396,25,6,23,35,Normal,9.8,2.5,7.0,1.17,CRITICAL,0,10.0,0.0800168634064081,60000,3000,2000,0,HIGH
SKU048,52,SKU048,49.6,58.6,False,0,0.0,96.9,Q4,Cold,False,Safety Equipment Item 48,Safety Equipment,SUP002,133.56,234.56,101.0,43.1,6.18,0.043,7.4,100,False,16.35,7.958333333333333,1.4550590949157252,1.075,60000,3000,2000,101.0,13745.216,5918.6,18.145161290322577,85,19,75,100,Normal,12.0,7.1,28.0,1.47,HIGH,0,12.0,0.12530916245081508,60000,3000,2000,0,HIGH
SKU057,52,SKU057,63.4,64.2,False,0,0.0,95.2,Q4,Hot,False,Safety Equipment Item 57,Safety Equipment,SUP002,121.54,248.61,127.07,51.1,4.24,0.062,7.9,100,False,29.98,8.85,1.2915811310877137,1.2,60000,3000,2000,127.07000000000001,15960.762000000002,8157.894000000001,1.2618296529968598,105,23,103,126,Normal,11.6,9.1,24.0,1.04,CRITICAL,0,11.5,0.15039225749688395,60000,3000,2000,0,HIGH
SKU058,52,SKU058,78.8,86.5,False,0,0.0,98.1,Q4,Hot,False,Safety Equipment Item 58,Safety Equipment,SUP001,92.06,196.59,104.53,53.2,3.17,0.494,3.0,10,True,32.97,3.266666666666667,0.5297226261035681,0.43333333333333335,80000,4000,2500,104.53,17005.035,9041.845,9.771573604060912,62,22,58,157,Normal,5.5,11.3,25.0,1.14,CRITICAL,0,5.5,0.22379273340487507,80000,4000,2500,0,CRITICAL
SKU060,52,SKU060,35.7,32.2,False,0,2.2,98.0,Q4,Normal,False,Safety Equipment Item 60,Safety Equipment,SUP005,111.99,281.09,169.09,60.2,4.51,0.249,7.5,55,False,37.47,7.966666666666666,1.0915654591068524,0.8166666666666668,75000,3800,2300,169.09999999999997,9051.098,5445.0199999999995,-9.80392156862745,0,15,55,71,Critical,0.0,5.1,0.0,0.0,CRITICAL,55,0.0,50.3602023608769,75000,3800,2300,165,CRITICAL
SKU062,52,SKU062,41.0,47.6,False,0,0.0,97.8,Q4,Normal,False,Safety Equipment Item 62,Safety Equipment,SUP003,124.33,294.68,170.34,57.8,2.41,0.347,12.6,100,False,70.69,12.708333333333334,1.7758267387503224,1.2916666666666667,40000,2000,1500,170.35000000000002,14026.768,8108.660000000002,16.09756097560977,105,22,96,100,Normal,17.9,5.9,30.0,1.36,HIGH,0,17.8,0.09722985391363663,40000,2000,1500,0,MEDIUM
SKU068,52,SKU068,71.0,50.5,False,0,19.8,95.8,Q4,Stormy,False,Safety Equipment Item 68,Safety Equipment,SUP003,112.2,230.31,118.11,51.3,5.31,0.353,13.7,151,False,22.25,13.924999999999999,2.574746236392662,1.925,40000,2000,1500,118.11,11630.655,5964.555,-28.873239436619713,24,34,175,142,Critical,2.4,10.1,0.0,0.0,CRITICAL,151,2.4,0.5869206616879467,40000,2000,1500,453,CRITICAL
SKU072,52,SKU072,72.3,80.6,False,0,0.0,97.1,Q4,Hot,False,Safety Equipment Item 72,Safety Equipment,SUP003,139.6,372.8,233.2,62.6,3.99,0.251,8.7,250,False,58.41,9.483333333333333,1.6425220813976253,1.25,40000,2000,1500,233.20000000000002,30047.68,18795.92,11.479944674965425,136,31,128,250,Normal,13.2,10.3,38.0,1.23,HIGH,0,13.2,0.15980121620931065,40000,2000,1500,0,HIGH
SKU088,52,SKU088,46.6,49.5,False,0,0.0,96.6,Q4,Stormy,False,Safety Equipment Item 88,Safety Equipment,SUP002,129.64,222.13,92.49,41.6,2.37,0.255,8.3,25,False,38.98,8.766666666666667,1.2093073399364795,1.05,60000,3000,2000,92.49000000000001,10995.435,4578.255,6.22317596566524,83,19,77,93,Normal,12.5,6.7,24.0,1.26,HIGH,0,12.4,0.11890605450688138,60000,3000,2000,0,HIGH
SKU095,52,SKU095,48.2,49.1,False,0,0.0,96.6,Q4,Stormy,False,Safety Equipment Item 95,Safety Equipment,SUP005,148.54,280.51,131.98,47.0,6.08,0.051,7.1,25,True,21.72,7.441666666666666,1.6582895532518567,1.2583333333333333,75000,3800,2300,131.97,13773.041,6479.727,1.8672199170124415,77,18,69,96,Normal,11.2,6.9,26.0,1.44,HIGH,0,11.2,0.12592447602987233,75000,3800,2300,0,HIGH
SKU105,52,SKU105,79.1,65.0,False,0,0.0,98.0,Q4,Hot,False,Safety Equipment Item 105,Safety Equipment,SUP003,117.37,212.27,94.9,44.7,0.68,0.031,8.1,50,False,138.66,8.566666666666666,1.4361142859898868,1.0333333333333334,40000,2000,1500,94.9,13797.550000000001,6168.5,-17.825537294563844,147,35,131,158,Normal,13.0,11.3,50.0,1.43,HIGH,0,13.0,0.17185108314956543,40000,2000,1500,0,HIGH
SKU109,52,SKU109,53.2,38.7,False,0,7.0,97.8,Q4,Stormy,False,Safety Equipment Item 109,Safety Equipment,SUP001,54.71,92.05,37.34,40.6,7.34,0.484,3.0,26,True,5.09,3.3000000000000003,0.4592483978296394,0.4166666666666667,80000,4000,2500,37.339999999999996,3562.335,1445.058,-27.255639097744357,13,14,39,106,Critical,1.7,7.6,0.0,0.0,CRITICAL,26,1.7,0.583830969149886,80000,4000,2500,78,CRITICAL
SKU112,52,SKU112,35.8,24.7,False,0,4.3,95.5,Q4,Normal,False,Safety Equipment Item 112,Safety Equipment,SUP001,119.73,244.49,124.76,51.0,7.56,0.055,4.4,30,False,16.5,4.958333333333333,0.763316130545867,0.775,80000,4000,2500,124.76,6038.903,3081.572,-31.00558659217877,5,10,35,71,Critical,1.0,5.1,0.0,0.0,CRITICAL,30,1.0,0.8175138520838352,80000,4000,2500,90,CRITICAL
SKU116,52,SKU116,39.6,39.0,False,0,0.0,98.3,Q4,Stormy,False,Safety Equipment Item 116,Safety Equipment,SUP005,103.93,239.33,135.4,56.6,4.24,0.287,10.1,250,False,31.96,10.566666666666666,1.280861452541243,1.1500000000000001,75000,3800,2300,135.4,9333.87,5280.6,-1.5151515151515138,87,20,79,250,Normal,15.4,5.7,27.0,1.35,HIGH,0,15.3,0.09945882793814548,75000,3800,2300,0,MEDIUM
SKU124,52,SKU124,38.6,32.8,False,0,0.0,98.5,Q4,Normal,False,Safety Equipment Item 124,Safety Equipment,SUP005,57.68,95.26,37.58,39.5,4.3,0.04,11.8,50,False,8.73,12.416666666666666,1.894409638591369,1.5333333333333332,75000,3800,2300,37.580000000000005,3124.528,1232.624,-15.025906735751304,90,22,90,77,Normal,16.3,5.5,22.0,1.0,CRITICAL,0,16.4,0.0955805536132933,75000,3800,2300,0,MEDIUM
SKU139,52,SKU139,41.3,40.2,False,0,0.0,98.4,Q4,Hot,False,Safety Equipment Item 139,Safety Equipment,SUP005,60.53,106.09,45.56,42.9,7.29,0.391,8.1,100,False,6.25,8.15,0.9995453511926854,0.8166666666666668,75000,3800,2300,45.56,4264.818,1831.5120000000002,-2.663438256658579,72,19,67,100,Normal,12.2,5.9,24.0,1.26,HIGH,0,12.2,0.11062947502280707,75000,3800,2300,0,HIGH
SKU144,52,SKU144,68.3,46.0,False,0,19.6,95.4,Q4,Normal,False,Safety Equipment Item 144,Safety Equipment,SUP003,55.92,89.66,33.74,37.6,2.47,0.193,12.8,95,False,13.64,13.958333333333334,2.1977088620707335,1.4583333333333333,40000,2000,1500,33.739999999999995,4124.36,1552.0399999999997,-32.650073206442165,73,32,168,136,Reorder,7.5,9.8,0.0,0.0,CRITICAL,95,7.4,0.3523874904777097,40000,2000,1500,285,HIGH
SKU162,52,SKU162,62.3,69.0,False,0,0.0,97.6,Q4,Stormy,True,Safety Equipment Item 162,Safety Equipment,SUP005,58.21,119.25,61.04,51.2,6.15,0.149,7.3,66,True,9.93,7.783333333333334,1.1707288587055762,0.8500000000000001,75000,3800,2300,61.04,8228.25,4211.76,10.75441412520064,28,25,94,124,Reorder,3.1,8.9,0.0,0.0,CRITICAL,66,3.1,0.4769876423754139,75000,3800,2300,198,CRITICAL
SKU184,52,SKU184,49.6,40.7,False,0,0.0,95.3,Q4,Normal,False,Safety Equipment Item 184,Safety Equipment,SUP003,125.75,349.63,223.87,64.0,2.85,0.403,10.5,250,False,78.59,10.983333333333334,1.2995337159103948,1.1500000000000001,40000,2000,1500,223.88,14229.941,9111.916000000001,-17.943548387096776,102,20,97,250,Normal,14.4,7.1,24.0,1.2,HIGH,0,14.4,0.11836471800637063,40000,2000,1500,0,MEDIUM
